# VG;DATA INICIO OP.;TIPO TRUQUE;TIPO RODA;PAD?;PROC. FAB. RODA;DUR. RODA [HB];DATA MED.;KM;CLASSE VIDA ARO;TAPE INI.;TROCA ROD?;POS. ROR.;"ID (""CPF"") PL"
HPT 031945-7;42242;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;380;43595;377318;NOVA;239;NÃO;3R;43595_HPT_0319457_3R
HPT 031945-7;42242;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;380;43595;377318;NOVA;239;NÃO;4R;43595_HPT_0319457_4R
HPT 031945-7;42242;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;380;43595;377318;NOVA;239;NÃO;4L;43595_HPT_0319457_4L
HPT 031945-7;42242;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;364;43595;377318;NOVA;239;NÃO;3L;43595_HPT_0319457_3L
HPT 031945-7;42242;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;359;43595;377318;NOVA;238;NÃO;2L;43595_HPT_0319457_2L
HPT 031945-7;42242;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;350;43595;377318;NOVA;239;NÃO;1L;43595_HPT_0319457_1L
HPT 031950-3;42242;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;380;43595;363384;NOVA;240;NÃO;1R;43595_HPT_0319503_1R
HPT 031950-3;42242;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;380;43595;363384;NOVA;240;NÃO;2R;43595_HPT_0319503_2R
HPT 031950-3;42242;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;348;43595;363384;NOVA;240;NÃO;3R;43595_HPT_0319503_3R
HPT 031950-3;42242;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;342;43595;363384;NOVA;240;NÃO;4R;43595_HPT_0319503_4R
